idcolegio;descricao;idpais
1;Facultad de la defensa nacional (FADENA);1
2;Escuela de Altos Estudios Nacionales (EAEN);2
3;Escuela Superior de Guerra (ESG);3
4;Academia Nacional de Estudios Políticos y Estratégicos (ANEPE);4
5;Escuela Superior de Guerra (ESDEG);5
6;Academia de Defensa Militar Conjunta (ADEMIC);6
7;Colegio de Altos Estudios Estratégicos (CAEE);7
8;Centro Superior de Estudios de la Defensa Nacional (CESEDEN);8
9;Comando Superior de Educación del Ejército (COSEDE);9
10;Colegio de Defensa Nacional;10
11;Colegio de Defensa Nacional (CODENAL);11
12;Centro de Estudios Superiores Navales (CESNAV);11
13;Centro Superior de Estudios Militares del Ejército (CSEM);12
14;Institutos de Altos Estudios Estratégicos (IAEE);13
15;Centro de Altos Estudios Nacionales (CAEN);14
16;Instituto de Defesa Nacional (IDN);15
17;Escuela de Graduados de Altos Estudios Estratégicos (EGAEE);16
18;Centro de Altos Estudios Nacionales (CALEN);17
19;Instituto de Altos Estudios de la Defensa Nacional (IAEDEN);18
